23982724	ERCC4
23982724	ERCC5
23982724	ERCC6
23982724	ERCC1
23982724	CDK7
2187493	TGFB1
6318081	CDKN1A
6318081	TG
12043914	TG
17199438	TG
17639052	TFF3
17639052	CITED1
17639052	PPARG
17639052	EGR2
17639052	TERT
12585034	CALCA
12585034	TG
18199538	DIO3
18199538	MTOR
18199538	PIK3CD
18199538	AKT1
18199538	CCND1
18199538	RPS6KB1
22241789	BRAF
22241789	MAPK1
22241789	MAP3K1
21983636	CHEK2
21983636	RASA1
21983636	PIK3CD
21983636	H2AFX
21983636	CCNE2
22336157	KRT19
22336157	DDIT3
22336157	HBE1
22336157	LGALS3
10438545	IL1B
10438545	RPP40
10438545	TNFRSF10B
10438545	TNF
10438545	TNFSF10
22242190	SLC5A5
22242190	PAX8
22242190	TPO
22242190	FOXE1
20029980	TBL1XR1
20029980	TG
16299404	TEP1
16299404	TERT
17561976	TSHB
17561976	TG
17278897	TG
10374014	TRH
10374014	TSHB
17659173	TSHR
17659173	TG
7416187	TSHB
7416187	TDG
7416187	TG
23455530	ALB
15500653	LGALS3
23095203	PPBP
23095203	TG
20353278	TG
23128507	BRAF
23128507	MAPK3
23128507	PIK3CB
23128507	PPARA
23128507	RET
23128507	TXK
18670854	TG
16847185	GSTM1
16847185	GSTT1
16847185	GSTA2
16847185	GSTK1
11721176	ESR1
11721176	ESR2
11721176	ESRRA
12213904	FTCD
12213904	CD86
24074409	BRAF
24074409	RET
24074409	PAX8
24074409	PPARA
24074409	RASA1
16959467	TSHB
16959467	TG
2806355	CALCA
12097198	TSHB
12097198	SMUG1
11297621	PTEN
11297621	MINPP1
18284635	TG
8675602	MCL1
8675602	BCL2
8675602	BAX
8675602	BCL2L1
21220971	PPBP
21220971	TG
21134552	TG
12743496	RET
12743496	HBE1
11041454	TSHB
11041454	TG
19963130	PAX8
19963130	PPARG
18612701	CDKN2A
18612701	KRT19
18612701	AR
18612701	FLT1
18612701	LGALS3
18612701	AURKB
17128567	TSHB
17128567	LIPC
17128567	TG
22165686	RNH1
22165686	TG
20062085	TXNRD2
20062085	TRNAS3
20062085	TP53
20062085	RPS6KB1
20062085	AKT1
9371865	TG
22473335	CEACAM19
22473335	CALCA
22473335	TG
15761511	PPBP
15761511	TG
16189643	VCP
7559096	RASA1
7559096	NRAS
7559096	HRAS
18193222	TG
15614295	KRT20
9004925	SNORA73A
9004925	RB1
9004925	TGM3
9004925	RNU105C
9004925	ADCY5
9004925	ADRA1B
9004925	TP53
21795449	TG
17609306	TG
9473076	TP53
16784981	RASA1
16784981	RET
16784981	BRAF
16784981	PTCH1
16784981	NRAS
16784981	NCOA4
10552086	TSHB
10552086	TG
11600580	GH1
11600580	FGF4
11600580	PTTG1
23412600	TG
3293774	RASA1
3293774	NRAS
3293774	HRAS
23728951	TG
9849814	TG
12144133	TNF
12144133	CD1C
2307172	TG
21751218	TG
21751218	FN1
9328388	TG
14605010	FLT1
14605010	LCT
14605010	VEGFA
19321014	QPRT
17638058	RASA1
17638058	HRAS
17638058	PIK3CA
17638058	TP53
17638058	FTCD
17638058	BRAF
21707434	TG
9641897	TG
9641890	TSHR
9641890	TG
9641890	TGM4
2015925	TG
20644217	KRT19
20644217	RET
20644217	HBE1
20644217	LGALS3
3368333	TRH
3368333	TSHB
15714595	ICAM2
15714595	CCR6
15714595	CCL20
15714595	CD1A
11740053	SRD5A1
11740053	TSHB
11740053	APCDD1
16251880	LGALS3
21982575	SLC5A5
21982575	TSHR
21982575	TG
21982575	TPO
21411300	TG
23040929	TG
16583356	MAPK14
16583356	MAP2K7
16583356	MAPK1
16583356	MAPKAPK3
16583356	MAPKAPK5
6475061	TSHR
6475061	TG
16403815	TSHB
16403815	TG
20687394	TG
12574186	TSHB
12574186	DIO2
17174366	RASA1
17174366	ITGAV
17174366	JUN
17174366	MAP2K4
17174366	FOS
17174366	TP53
17174366	PCNA
17174366	MAPK8
23828434	PPBP
23828434	TG
9790504	PTEN
476434	TG
15212646	TSHB
15212646	TG
10595458	JUP
10595458	ACTN1
10595458	CTNNA1
10595458	CDH1
15046390	TG
19158200	TG
22985488	HRAS
22985488	GNAS
22985488	TSHR
9329585	SAP30BP
9329585	TPO
17911173	SSR1
17911173	TXNRD2
17911173	TMEFF2
14534007	TG
19097407	TG
14534005	TSHB
14534005	TG
21454643	PPRC1
21454643	LDHA
21454643	COX8A
23872202	XRCC1
21643629	PIK3CA
21643629	DEPTOR
21643629	AKT1
22046576	PCSK2
22046576	GDF15
22046576	BMX
22046576	TSHR
22046576	RAP2A
22046576	IGF1R
22046576	CCND2
18492751	PTEN
18492751	RASA1
18492751	MAPK10
18492751	BAIAP2L1
18492751	EGFR
18492751	EPHB2
18492751	KIT
18492751	PIK3CA
18492751	PIK3CB
18492751	AKT1
18492751	FLT1
18492751	PDPK1
18492751	RET
18492751	MAPK4
22481871	XRCC2
7478621	GPR3
7478621	GNAS
